"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - train_loss","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - train_loss__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - train_loss__MAX"
"22050","0.24638846261160716","0.24638846261160716","0.24638846261160716"
"22120","0.2391322544642857","0.2391322544642857","0.2391322544642857"
"22190","0.2315342494419643","0.2315342494419643","0.2315342494419643"
"22260","0.20552280970982142","0.20552280970982142","0.20552280970982142"
"22330","0.22728097098214287","0.22728097098214287","0.22728097098214287"
"22400","0.19396449497767856","0.19396449497767856","0.19396449497767856"
"22470","0.21591971261160714","0.21591971261160714","0.21591971261160714"
"22540","0.23429652622767858","0.23429652622767858","0.23429652622767858"
"22610","0.25272391183035714","0.25272391183035714","0.25272391183035714"
"22680","0.20184151785714285","0.20184151785714285","0.20184151785714285"
"22750","0.25076032366071427","0.25076032366071427","0.25076032366071427"
"22820","0.21913190569196428","0.21913190569196428","0.21913190569196428"
"22890","0.21732177734375","0.21732177734375","0.21732177734375"
"22960","0.21860700334821428","0.21860700334821428","0.21860700334821428"
"23030","0.23535243443080356","0.23535243443080356","0.23535243443080356"
"23100","0.21737060546875","0.21737060546875","0.21737060546875"
"23170","0.2338902064732143","0.2338902064732143","0.2338902064732143"
"23240","0.21551688058035715","0.21551688058035715","0.21551688058035715"
"23310","0.2304652622767857","0.2304652622767857","0.2304652622767857"
"23380","0.21707938058035714","0.21707938058035714","0.21707938058035714"
"23450","0.22642822265625","0.22642822265625","0.22642822265625"
"23520","0.2855276925223214","0.2855276925223214","0.2855276925223214"
"23590","0.21803501674107142","0.21803501674107142","0.21803501674107142"
"23660","0.23466273716517858","0.23466273716517858","0.23466273716517858"
"23730","0.21531982421875","0.21531982421875","0.21531982421875"
"23800","0.18889857700892856","0.18889857700892856","0.18889857700892856"
"23870","0.21689278738839285","0.21689278738839285","0.21689278738839285"
"23940","0.17862723214285714","0.17862723214285714","0.17862723214285714"
"24010","0.21004115513392857","0.21004115513392857","0.21004115513392857"
"24080","0.2028529575892857","0.2028529575892857","0.2028529575892857"
"24150","0.247369384765625","0.247369384765625","0.247369384765625"
"24220","0.24508579799107144","0.24508579799107144","0.24508579799107144"
"24290","0.18771798270089285","0.18771798270089285","0.18771798270089285"
"24360","0.22591465541294642","0.22591465541294642","0.22591465541294642"
"24430","0.20729108537946428","0.20729108537946428","0.20729108537946428"
"24500","0.18489641462053572","0.18489641462053572","0.18489641462053572"
"24570","0.19533517020089286","0.19533517020089286","0.19533517020089286"
"24640","0.20261579241071428","0.20261579241071428","0.20261579241071428"
"24710","0.21440168108258928","0.21440168108258928","0.21440168108258928"
"24780","0.21051548549107144","0.21051548549107144","0.21051548549107144"
"24850","0.21464669363839287","0.21464669363839287","0.21464669363839287"
"24920","0.19684361049107144","0.19684361049107144","0.19684361049107144"
"24990","0.16955479213169644","0.16955479213169644","0.16955479213169644"
"25060","0.19975237165178572","0.19975237165178572","0.19975237165178572"
"25130","0.2104457310267857","0.2104457310267857","0.2104457310267857"
"25200","0.18324846540178572","0.18324846540178572","0.18324846540178572"
"25270","0.19022739955357143","0.19022739955357143","0.19022739955357143"
"25340","0.22419084821428573","0.22419084821428573","0.22419084821428573"
"25410","0.18665597098214284","0.18665597098214284","0.18665597098214284"
"25480","0.20860770089285716","0.20860770089285716","0.20860770089285716"
"25550","0.20796944754464286","0.20796944754464286","0.20796944754464286"
"25620","0.22839878627232144","0.22839878627232144","0.22839878627232144"
"25690","0.20501883370535715","0.20501883370535715","0.20501883370535715"
"25760","0.20379464285714285","0.20379464285714285","0.20379464285714285"
"25830","0.19225376674107142","0.19225376674107142","0.19225376674107142"
"25900","0.20494559151785716","0.20494559151785716","0.20494559151785716"
"25970","0.1800502232142857","0.1800502232142857","0.1800502232142857"
"26040","0.23806675502232144","0.23806675502232144","0.23806675502232144"
"26110","0.16161063058035716","0.16161063058035716","0.16161063058035716"
"26180","0.26625802176339286","0.26625802176339286","0.26625802176339286"
"26250","0.18980712890625","0.18980712890625","0.18980712890625"
"26320","0.20302211216517857","0.20302211216517857","0.20302211216517857"
"26390","0.20573904854910716","0.20573904854910716","0.20573904854910716"
"26460","0.21522914341517857","0.21522914341517857","0.21522914341517857"
"26530","0.2175048828125","0.2175048828125","0.2175048828125"
"26600","0.19688197544642858","0.19688197544642858","0.19688197544642858"
"26670","0.1930419921875","0.1930419921875","0.1930419921875"
"26740","0.21903076171875","0.21903076171875","0.21903076171875"
"26810","0.20831996372767858","0.20831996372767858","0.20831996372767858"
"26880","0.18650599888392858","0.18650599888392858","0.18650599888392858"
"26950","0.2105678013392857","0.2105678013392857","0.2105678013392857"
"27020","0.22024972098214285","0.22024972098214285","0.22024972098214285"
"27090","0.2056884765625","0.2056884765625","0.2056884765625"
"27160","0.18351527622767858","0.18351527622767858","0.18351527622767858"
"27230","0.20931222098214286","0.20931222098214286","0.20931222098214286"
"27300","0.22343662806919642","0.22343662806919642","0.22343662806919642"
"27370","0.20480869838169644","0.20480869838169644","0.20480869838169644"
"27440","0.1752293178013393","0.1752293178013393","0.1752293178013393"
"27510","0.18974783761160716","0.18974783761160716","0.18974783761160716"
"27580","0.20301862444196428","0.20301862444196428","0.20301862444196428"
"27650","0.19002162388392857","0.19002162388392857","0.19002162388392857"
"27720","0.19171665736607144","0.19171665736607144","0.19171665736607144"
"27790","0.2358154296875","0.2358154296875","0.2358154296875"
"27860","0.22408447265625","0.22408447265625","0.22408447265625"
"27930","0.19852294921875","0.19852294921875","0.19852294921875"
"28000","0.19281180245535715","0.19281180245535715","0.19281180245535715"
"28070","0.16691632952008928","0.16691632952008928","0.16691632952008928"
"28140","0.20388009207589286","0.20388009207589286","0.20388009207589286"
"28210","0.16796003069196427","0.16796003069196427","0.16796003069196427"
"28280","0.18187691824776786","0.18187691824776786","0.18187691824776786"
"28350","0.19083949497767858","0.19083949497767858","0.19083949497767858"
"28420","0.1579310825892857","0.1579310825892857","0.1579310825892857"
"28490","0.1933872767857143","0.1933872767857143","0.1933872767857143"
"28560","0.17986537388392856","0.17986537388392856","0.17986537388392856"
