"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - test_loss","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - test_loss__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - test_loss__MAX"
"30450","0.66015625","0.66015625","0.66015625"
"30520","0.57421875","0.57421875","0.57421875"
"30590","0.671875","0.671875","0.671875"
"30660","0.78515625","0.78515625","0.78515625"
"30730","0.56640625","0.56640625","0.56640625"
"30800","0.69921875","0.69921875","0.69921875"
"30870","0.80078125","0.80078125","0.80078125"
"30940","0.75","0.75","0.75"
"31010","0.60546875","0.60546875","0.60546875"
"31080","0.68359375","0.68359375","0.68359375"
"31150","0.76953125","0.76953125","0.76953125"
"31220","0.75390625","0.75390625","0.75390625"
"31290","0.82421875","0.82421875","0.82421875"
"31360","0.80859375","0.80859375","0.80859375"
"31430","0.54296875","0.54296875","0.54296875"
"31500","0.75390625","0.75390625","0.75390625"
"31570","0.73046875","0.73046875","0.73046875"
"31640","0.423828125","0.423828125","0.423828125"
"31710","0.71484375","0.71484375","0.71484375"
"31780","0.76953125","0.76953125","0.76953125"
"31850","0.75","0.75","0.75"
"31920","0.546875","0.546875","0.546875"
"31990","0.76953125","0.76953125","0.76953125"
"32060","0.443359375","0.443359375","0.443359375"
"32130","0.74609375","0.74609375","0.74609375"
"32200","0.65625","0.65625","0.65625"
"32270","0.439453125","0.439453125","0.439453125"
"32340","0.55078125","0.55078125","0.55078125"
"32410","0.65625","0.65625","0.65625"
"32480","0.64453125","0.64453125","0.64453125"
"32550","0.546875","0.546875","0.546875"
"32620","0.62109375","0.62109375","0.62109375"
"32690","0.890625","0.890625","0.890625"
"32760","0.88671875","0.88671875","0.88671875"
"32830","0.87109375","0.87109375","0.87109375"
"32900","0.61328125","0.61328125","0.61328125"
"32970","0.86328125","0.86328125","0.86328125"
"33040","0.55078125","0.55078125","0.55078125"
"33110","0.58984375","0.58984375","0.58984375"
"33180","0.6875","0.6875","0.6875"
"33250","0.66015625","0.66015625","0.66015625"
"33320","0.4140625","0.4140625","0.4140625"
"33390","0.59765625","0.59765625","0.59765625"
"33460","0.84375","0.84375","0.84375"
"33530","0.64453125","0.64453125","0.64453125"
"33600","0.79296875","0.79296875","0.79296875"
"33670","0.546875","0.546875","0.546875"
"33740","0.80859375","0.80859375","0.80859375"
"33810","0.515625","0.515625","0.515625"
"33880","0.62109375","0.62109375","0.62109375"
"33950","0.796875","0.796875","0.796875"
"34020","0.60546875","0.60546875","0.60546875"
"34090","0.447265625","0.447265625","0.447265625"
"34160","0.74609375","0.74609375","0.74609375"
"34230","0.73828125","0.73828125","0.73828125"
"34300","0.5703125","0.5703125","0.5703125"
"34370","0.80078125","0.80078125","0.80078125"
"34440","0.828125","0.828125","0.828125"
"34510","0.578125","0.578125","0.578125"
"34580","0.53125","0.53125","0.53125"
"34650","0.55859375","0.55859375","0.55859375"
"34720","0.51171875","0.51171875","0.51171875"
"34790","0.62109375","0.62109375","0.62109375"
"34860","0.65234375","0.65234375","0.65234375"
"34930","0.68359375","0.68359375","0.68359375"
"35000","0.62890625","0.62890625","0.62890625"
"35070","0.82421875","0.82421875","0.82421875"
"35140","0.52734375","0.52734375","0.52734375"
"35210","0.51953125","0.51953125","0.51953125"
"35280","0.66015625","0.66015625","0.66015625"
"35350","0.66015625","0.66015625","0.66015625"
"35420","0.84765625","0.84765625","0.84765625"
"35490","0.486328125","0.486328125","0.486328125"
"35560","0.451171875","0.451171875","0.451171875"
"35630","0.65234375","0.65234375","0.65234375"
"35700","0.75390625","0.75390625","0.75390625"
"35770","0.6015625","0.6015625","0.6015625"
"35840","0.55078125","0.55078125","0.55078125"
"35910","0.71875","0.71875","0.71875"
"35980","0.671875","0.671875","0.671875"
"36050","0.73046875","0.73046875","0.73046875"
"36120","0.65234375","0.65234375","0.65234375"
"36190","0.765625","0.765625","0.765625"
"36260","0.62109375","0.62109375","0.62109375"
"36330","0.703125","0.703125","0.703125"
"36400","0.62109375","0.62109375","0.62109375"
"36470","0.87890625","0.87890625","0.87890625"
"36540","0.703125","0.703125","0.703125"
"36610","0.70703125","0.70703125","0.70703125"
"36680","0.66015625","0.66015625","0.66015625"
"36750","0.76171875","0.76171875","0.76171875"
"36820","0.671875","0.671875","0.671875"
"36890","0.392578125","0.392578125","0.392578125"
"36960","0.443359375","0.443359375","0.443359375"
"37030","0.77734375","0.77734375","0.77734375"
"37100","0.73828125","0.73828125","0.73828125"
"37170","0.609375","0.609375","0.609375"
"37240","0.74609375","0.74609375","0.74609375"
"37310","0.89453125","0.89453125","0.89453125"
"37380","0.62109375","0.62109375","0.62109375"
"37450","0.6875","0.6875","0.6875"
"37520","0.470703125","0.470703125","0.470703125"
"37590","0.5859375","0.5859375","0.5859375"
"37660","0.62890625","0.62890625","0.62890625"
"37730","0.65234375","0.65234375","0.65234375"
"37800","0.60546875","0.60546875","0.60546875"
"37870","0.62890625","0.62890625","0.62890625"
"37940","0.66015625","0.66015625","0.66015625"
"38010","0.79296875","0.79296875","0.79296875"
"38080","0.4921875","0.4921875","0.4921875"
"38150","0.66796875","0.66796875","0.66796875"
"38220","0.4453125","0.4453125","0.4453125"
"38290","0.70703125","0.70703125","0.70703125"
"38360","0.63671875","0.63671875","0.63671875"
"38430","0.71484375","0.71484375","0.71484375"
"38500","0.62109375","0.62109375","0.62109375"
"38570","0.78515625","0.78515625","0.78515625"
"38640","0.57421875","0.57421875","0.57421875"
"38710","0.50390625","0.50390625","0.50390625"
"38780","0.6875","0.6875","0.6875"
"38850","0.58203125","0.58203125","0.58203125"
"38920","0.875","0.875","0.875"
"38990","0.85546875","0.85546875","0.85546875"
"39060","0.66796875","0.66796875","0.66796875"
"39130","0.72265625","0.72265625","0.72265625"
"39200","0.5859375","0.5859375","0.5859375"
"39270","0.765625","0.765625","0.765625"
"39340","0.796875","0.796875","0.796875"
"39410","0.54296875","0.54296875","0.54296875"
"39480","0.57421875","0.57421875","0.57421875"
"39550","0.76171875","0.76171875","0.76171875"
"39620","0.671875","0.671875","0.671875"
"39690","0.82421875","0.82421875","0.82421875"
"39760","0.64453125","0.64453125","0.64453125"
"39830","0.73828125","0.73828125","0.73828125"
"39900","0.546875","0.546875","0.546875"
"39970","0.515625","0.515625","0.515625"
"40040","0.69921875","0.69921875","0.69921875"
"40110","0.69921875","0.69921875","0.69921875"
"40180","0.828125","0.828125","0.828125"
"40250","0.61328125","0.61328125","0.61328125"
"40320","0.66796875","0.66796875","0.66796875"
"40390","0.64453125","0.64453125","0.64453125"
"40460","0.478515625","0.478515625","0.478515625"
"40530","0.78515625","0.78515625","0.78515625"
"40600","0.74609375","0.74609375","0.74609375"
"40670","0.66796875","0.66796875","0.66796875"
"40740","0.6015625","0.6015625","0.6015625"
"40810","0.79296875","0.79296875","0.79296875"
