"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc__MAX"
"23870","0.8890625","0.8890625","0.8890625"
"23940","0.88125","0.88125","0.88125"
"24010","0.8828125","0.8828125","0.8828125"
"24080","0.88125","0.88125","0.88125"
"24150","0.88125","0.88125","0.88125"
"24220","0.8828125","0.8828125","0.8828125"
"24290","0.8828125","0.8828125","0.8828125"
"24360","0.8828125","0.8828125","0.8828125"
"24430","0.8828125","0.8828125","0.8828125"
"24500","0.878125","0.878125","0.878125"
"24570","0.878125","0.878125","0.878125"
"24640","0.8796875","0.8796875","0.8796875"
"24710","0.8859375","0.8859375","0.8859375"
"24780","0.88125","0.88125","0.88125"
"24850","0.8765625","0.8765625","0.8765625"
"24920","0.875","0.875","0.875"
"24990","0.8734375","0.8734375","0.8734375"
"25060","0.8765625","0.8765625","0.8765625"
"25130","0.871875","0.871875","0.871875"
"25200","0.8671875","0.8671875","0.8671875"
"25270","0.8796875","0.8796875","0.8796875"
"25340","0.875","0.875","0.875"
"25410","0.8734375","0.8734375","0.8734375"
"25480","0.878125","0.878125","0.878125"
"25550","0.88125","0.88125","0.88125"
"25620","0.8703125","0.8703125","0.8703125"
"25690","0.875","0.875","0.875"
"25760","0.8734375","0.8734375","0.8734375"
"25830","0.8796875","0.8796875","0.8796875"
"25900","0.865625","0.865625","0.865625"
"25970","0.8625","0.8625","0.8625"
"26040","0.8625","0.8625","0.8625"
"26110","0.859375","0.859375","0.859375"
"26180","0.8640625","0.8640625","0.8640625"
"26250","0.865625","0.865625","0.865625"
"26320","0.8609375","0.8609375","0.8609375"
"26390","0.85625","0.85625","0.85625"
"26460","0.8578125","0.8578125","0.8578125"
"26530","0.8640625","0.8640625","0.8640625"
"26600","0.8609375","0.8609375","0.8609375"
"26670","0.8578125","0.8578125","0.8578125"
"26740","0.878125","0.878125","0.878125"
"26810","0.88125","0.88125","0.88125"
"26880","0.86875","0.86875","0.86875"
"26950","0.871875","0.871875","0.871875"
"27020","0.8765625","0.8765625","0.8765625"
"27090","0.875","0.875","0.875"
"27160","0.8671875","0.8671875","0.8671875"
"27230","0.85625","0.85625","0.85625"
"27300","0.871875","0.871875","0.871875"
"27370","0.8734375","0.8734375","0.8734375"
"27440","0.875","0.875","0.875"
"27510","0.8671875","0.8671875","0.8671875"
"27580","0.8890625","0.8890625","0.8890625"
"27650","0.8640625","0.8640625","0.8640625"
"27720","0.859375","0.859375","0.859375"
"27790","0.8609375","0.8609375","0.8609375"
"27860","0.875","0.875","0.875"
"27930","0.859375","0.859375","0.859375"
"28000","0.8625","0.8625","0.8625"
"28070","0.8578125","0.8578125","0.8578125"
"28140","0.8640625","0.8640625","0.8640625"
"28210","0.859375","0.859375","0.859375"
"28280","0.85","0.85","0.85"
"28350","0.8625","0.8625","0.8625"
"28420","0.865625","0.865625","0.865625"
"28490","0.8765625","0.8765625","0.8765625"
"28560","0.8671875","0.8671875","0.8671875"
"28630","0.8640625","0.8640625","0.8640625"
"28700","0.8625","0.8625","0.8625"
"28770","0.8640625","0.8640625","0.8640625"
"28840","0.8625","0.8625","0.8625"
"28910","0.865625","0.865625","0.865625"
"28980","0.859375","0.859375","0.859375"
"29050","0.8578125","0.8578125","0.8578125"
"29120","0.8515625","0.8515625","0.8515625"
"29190","0.8625","0.8625","0.8625"
"29260","0.859375","0.859375","0.859375"
"29330","0.8671875","0.8671875","0.8671875"
"29400","0.878125","0.878125","0.878125"
"29470","0.86875","0.86875","0.86875"
"29540","0.8671875","0.8671875","0.8671875"
"29610","0.8578125","0.8578125","0.8578125"
"29680","0.8484375","0.8484375","0.8484375"
"29750","0.85","0.85","0.85"
"29820","0.859375","0.859375","0.859375"
"29890","0.865625","0.865625","0.865625"
"29960","0.8671875","0.8671875","0.8671875"
"30030","0.86875","0.86875","0.86875"
"30100","0.8765625","0.8765625","0.8765625"
"30170","0.871875","0.871875","0.871875"
"30240","0.8703125","0.8703125","0.8703125"
"30310","0.8796875","0.8796875","0.8796875"
"30380","0.8734375","0.8734375","0.8734375"
"30450","0.8734375","0.8734375","0.8734375"
"30520","0.871875","0.871875","0.871875"
"30590","0.8703125","0.8703125","0.8703125"
"30660","0.8734375","0.8734375","0.8734375"
"30730","0.875","0.875","0.875"
"30800","0.86875","0.86875","0.86875"
"30870","0.875","0.875","0.875"
"30940","0.8609375","0.8609375","0.8609375"
"31010","0.88125","0.88125","0.88125"
"31080","0.8640625","0.8640625","0.8640625"
"31150","0.8734375","0.8734375","0.8734375"
"31220","0.878125","0.878125","0.878125"
"31290","0.8796875","0.8796875","0.8796875"
"31360","0.8671875","0.8671875","0.8671875"
"31430","0.871875","0.871875","0.871875"
"31500","0.875","0.875","0.875"
"31570","0.8625","0.8625","0.8625"
"31640","0.88125","0.88125","0.88125"
"31710","0.8796875","0.8796875","0.8796875"
"31780","0.8796875","0.8796875","0.8796875"
"31850","0.8765625","0.8765625","0.8765625"
"31920","0.875","0.875","0.875"
"31990","0.8796875","0.8796875","0.8796875"
"32060","0.8828125","0.8828125","0.8828125"
"32130","0.875","0.875","0.875"
"32200","0.8765625","0.8765625","0.8765625"
"32270","0.8734375","0.8734375","0.8734375"
"32340","0.859375","0.859375","0.859375"
"32410","0.8640625","0.8640625","0.8640625"
"32480","0.865625","0.865625","0.865625"
"32550","0.871875","0.871875","0.871875"
"32620","0.86875","0.86875","0.86875"
"32690","0.8640625","0.8640625","0.8640625"
"32760","0.871875","0.871875","0.871875"
"32830","0.8578125","0.8578125","0.8578125"
"32900","0.865625","0.865625","0.865625"
"32970","0.865625","0.865625","0.865625"
"33040","0.8671875","0.8671875","0.8671875"
"33110","0.8703125","0.8703125","0.8703125"
"33180","0.865625","0.865625","0.865625"
"33250","0.8671875","0.8671875","0.8671875"
"33320","0.8765625","0.8765625","0.8765625"
"33390","0.8703125","0.8703125","0.8703125"
"33460","0.871875","0.871875","0.871875"
"33530","0.86875","0.86875","0.86875"
"33600","0.875","0.875","0.875"
"33670","0.8703125","0.8703125","0.8703125"
"33740","0.8734375","0.8734375","0.8734375"
"33810","0.86875","0.86875","0.86875"
"33880","0.8578125","0.8578125","0.8578125"
"33950","0.8546875","0.8546875","0.8546875"
"34020","0.8625","0.8625","0.8625"
"34090","0.8671875","0.8671875","0.8671875"
"34160","0.871875","0.871875","0.871875"
"34230","0.86875","0.86875","0.86875"
"34300","0.8640625","0.8640625","0.8640625"
"34370","0.865625","0.865625","0.865625"
"34440","0.8609375","0.8609375","0.8609375"
"34510","0.8703125","0.8703125","0.8703125"
"34580","0.8671875","0.8671875","0.8671875"
"34650","0.865625","0.865625","0.865625"
"34720","0.8640625","0.8640625","0.8640625"
"34790","0.8703125","0.8703125","0.8703125"
"34860","0.8703125","0.8703125","0.8703125"
"34930","0.871875","0.871875","0.871875"
"35000","0.871875","0.871875","0.871875"
"35070","0.875","0.875","0.875"
"35140","0.8765625","0.8765625","0.8765625"
"35210","0.865625","0.865625","0.865625"
